Status,Date/Time,Staff number,Row number,Action,Data item,Before,After,Message
INFO,17/11/2014 09:46:52,,,,,,,Process: ImportJob
INFO,17/11/2014 09:46:52,,,,,,,Process actioned by: NI001003N NI001003N
INFO,17/11/2014 09:46:52,,,,,,,Test run: false
INFO,17/11/2014 09:46:52,,,,,,,Import Type: EmployeeOption
INFO,17/11/2014 09:46:52,,,,,,,Import Configuration name: NG_Monthly_HR_Import
INFO,17/11/2014 09:46:52,,,,,,,Import Filename: NG_Weekly_HR_Import_JW - Copy_2014-11-17_09-46-52.csv
SUCCESS,17/11/2014 09:46:53,'AB099011A',3,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 17/11/2014
SUCCESS,17/11/2014 09:46:53,'AB099011A',3,JOINER,,,,Joiner successfully added.
SUCCESS,17/11/2014 09:46:53,'AB099011A',3,JOINER,Benefit effective date,,'17/11/2014',
SUCCESS,17/11/2014 09:46:53,'AB099011A',3,JOINER,Username,,'AB099011A',
SUCCESS,17/11/2014 09:46:54,'AB099012A',4,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 17/11/2014
SUCCESS,17/11/2014 09:46:54,'AB099012A',4,JOINER,,,,Joiner successfully added.
SUCCESS,17/11/2014 09:46:54,'AB099012A',4,JOINER,Benefit effective date,,'17/11/2014',
SUCCESS,17/11/2014 09:46:54,'AB099012A',4,JOINER,Username,,'AB099012A',
INFO,17/11/2014 09:46:55,,,,,,,2 records processed
INFO,17/11/2014 09:46:55,,,,,,,0 records with errors
INFO,17/11/2014 09:46:55,,,,,,,2 successful records processed
