Status,Date/Time,Staff number,Row number,Action,Data item,Before,After,Message
INFO,21/07/2014 11:09,,,,,,,Process: ImportJob
INFO,21/07/2014 11:09,,,,,,,Process actioned by: NI001003N NI001003N
INFO,21/07/2014 11:09,,,,,,,Test run: false
INFO,21/07/2014 11:09,,,,,,,Import Type: EmployeeOption
INFO,21/07/2014 11:09,,,,,,,Import Configuration name: NG_Monthly_HR_Import
INFO,21/07/2014 11:09,,,,,,,Import Filename: NG_Weekly_HR_Import_Change My_2014-07-21_11-09-33.csv
SUCCESS,21/07/2014 11:09,'AB210701A',3,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 26/05/2014
SUCCESS,21/07/2014 11:09,'AB210701A',3,JOINER,,,,Joiner successfully added.
SUCCESS,21/07/2014 11:09,'AB210701A',3,JOINER,Benefit effective date,,'26/05/2014',
SUCCESS,21/07/2014 11:09,'AB210701A',3,JOINER,Username,,'AB210701A',
SUCCESS,21/07/2014 11:09,'AB210702A',4,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 26/05/2014
SUCCESS,21/07/2014 11:09,'AB210702A',4,JOINER,,,,Joiner successfully added.
SUCCESS,21/07/2014 11:09,'AB210702A',4,JOINER,Benefit effective date,,'26/05/2014',
SUCCESS,21/07/2014 11:09,'AB210702A',4,JOINER,Username,,'AB210702A',
SUCCESS,21/07/2014 11:09,'AB210703A',5,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 26/05/2014
SUCCESS,21/07/2014 11:09,'AB210703A',5,JOINER,,,,Joiner successfully added.
SUCCESS,21/07/2014 11:09,'AB210703A',5,JOINER,Benefit effective date,,'26/05/2014',
SUCCESS,21/07/2014 11:09,'AB210703A',5,JOINER,Username,,'AB210703A',
SUCCESS,21/07/2014 11:09,'AB210704A',6,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 26/05/2014
SUCCESS,21/07/2014 11:09,'AB210704A',6,JOINER,,,,Joiner successfully added.
SUCCESS,21/07/2014 11:09,'AB210704A',6,JOINER,Benefit effective date,,'26/05/2014',
SUCCESS,21/07/2014 11:09,'AB210704A',6,JOINER,Username,,'AB210704A',
SUCCESS,21/07/2014 11:09,'AB210705A',7,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 26/05/2014
SUCCESS,21/07/2014 11:09,'AB210705A',7,JOINER,,,,Joiner successfully added.
SUCCESS,21/07/2014 11:09,'AB210705A',7,JOINER,Benefit effective date,,'26/05/2014',
SUCCESS,21/07/2014 11:09,'AB210705A',7,JOINER,Username,,'AB210705A',
SUCCESS,21/07/2014 11:09,'AB210706A',8,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 26/05/2014
SUCCESS,21/07/2014 11:09,'AB210706A',8,JOINER,,,,Joiner successfully added.
SUCCESS,21/07/2014 11:09,'AB210706A',8,JOINER,Benefit effective date,,'26/05/2014',
SUCCESS,21/07/2014 11:09,'AB210706A',8,JOINER,Username,,'AB210706A',
SUCCESS,21/07/2014 11:09,'AB210707A',9,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 26/05/2014
SUCCESS,21/07/2014 11:09,'AB210707A',9,JOINER,,,,Joiner successfully added.
SUCCESS,21/07/2014 11:09,'AB210707A',9,JOINER,Benefit effective date,,'26/05/2014',
SUCCESS,21/07/2014 11:09,'AB210707A',9,JOINER,Username,,'AB210707A',
SUCCESS,21/07/2014 11:09,'AB210708A',10,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 26/05/2014
SUCCESS,21/07/2014 11:09,'AB210708A',10,JOINER,,,,Joiner successfully added.
SUCCESS,21/07/2014 11:09,'AB210708A',10,JOINER,Benefit effective date,,'26/05/2014',
SUCCESS,21/07/2014 11:09,'AB210708A',10,JOINER,Username,,'AB210708A',
SUCCESS,21/07/2014 11:09,'AB210709A',11,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 26/05/2014
SUCCESS,21/07/2014 11:09,'AB210709A',11,JOINER,,,,Joiner successfully added.
SUCCESS,21/07/2014 11:09,'AB210709A',11,JOINER,Benefit effective date,,'26/05/2014',
SUCCESS,21/07/2014 11:09,'AB210709A',11,JOINER,Username,,'AB210709A',
SUCCESS,21/07/2014 11:09,'AB210710A',12,JOINER,,,,Raised adjustment : Joiner (Default) : Joiner life event with effective date 26/05/2014
SUCCESS,21/07/2014 11:09,'AB210710A',12,JOINER,,,,Joiner successfully added.
SUCCESS,21/07/2014 11:09,'AB210710A',12,JOINER,Benefit effective date,,'26/05/2014',
SUCCESS,21/07/2014 11:09,'AB210710A',12,JOINER,Username,,'AB210710A',
