2014-07-21-15.07.14.676831,,,,
BC_NO,EXTERNAL_USER_XREF,CONTRACT_NO,SCHEME_NUMBER,PROD_SNAME,MBR_STATUS_CODE,OPTOUT_PERIOD_END_DATE
0952000670735,8abcc1a7474a238c01475865d2070043,TB100158977,TR1081,TBP,1,21/08/2014
0952000673223,8abcc1a7474a238c01475865d6000044,TB100158978,TR1081,TBP,1,21/08/2014
0952000673233,8abcc1a7474a238c01475865d64e0045,TB100158979,TR1081,TBP,1,21/08/2014
0952000661157,8abcc1a7474a238c01475865d6980046,TB100158980,TR1081,TBP,1,21/08/2014
0952000669478,8abcc1a7474a238c01475865d7420048,TB100158981,TR1081,TBP,1,21/08/2014
0952000670292,8abcc1a7474a238c01475865d76c0049,TB100158982,TR1081,TBP,1,21/08/2014
0952000670745,8abcc1a7474a238c01475865d795004a,TB100158983,TR1081,TBP,1,21/08/2014
0952000670755,8abcc1a7474a238c01475865d7c0004b,TB100158984,TR1081,TBP,1,21/08/2014
0952000673334,8abcc1a7474a238c01475865d7ee004c,TB100158985,TR1081,TBP,1,21/08/2014
0952000673243,8abcc1a7474a238c01475865d818004d,TB100158986,TR1081,TBP,1,21/08/2014
0952000661167,8abcc1a7474a238c01475865d843004e,TB100158987,TR1081,TBP,1,21/08/2014
0952000660466,8abcc1a7474a238c01475865d8a40050,TB100158988,TR1081,TBP,1,21/08/2014
0952000661177,8abcc1a7474a238c01475865d8d80051,TB100158989,TR1081,TBP,1,21/08/2014
0952000660476,8abcc1a7474a238c01475865d90a0052,TB100158990,TR1081,TBP,1,21/08/2014
0952000673253,8abcc1a7474a238c01475865d9be0055,TB100158991,TR1081,TBP,1,21/08/2014
0952000671701,8abcc1a7474a238c01475865d9f20056,TB100158992,TR1081,TBP,1,21/08/2014
0952000673263,8abcc1a7474a238c01475865f0bf0057,TB100158993,TR1081,TBP,1,21/08/2014
0952000660486,8abcc1a7474a238c01475865f1a60058,TB100158994,TR1081,TBP,1,21/08/2014
0952000670302,8abcc1a7474a238c01475865f269005a,TB100158995,TR1081,TBP,1,21/08/2014
0952000673344,8abcc1a7474a238c01475865f2c6005b,TB100158996,TR1081,TBP,1,21/08/2014
0952000669488,8abcc1a7474a238c01475865f36a005c,TB100158997,TR1081,TBP,1,21/08/2014
0952000670312,8abcc1a7474a238c01475865f46a005e,TB100158998,TR1081,TBP,1,21/08/2014
0952000673273,8abcc1a7474a238c01475865f4ba005f,TB100158999,TR1081,TBP,1,21/08/2014
0952000673354,8abcc1a7474a238c01475865f5420060,TB100159000,TR1081,TBP,1,21/08/2014
0952000660496,8abcc1a7474a238c01475865f5860061,TB100159001,TR1081,TBP,1,21/08/2014
0952000671711,8abcc1a7474a238c01475865f60a0063,TB100159002,TR1081,TBP,1,21/08/2014
0952000672389,8abcc1a7474a238c01475865f6910064,TB100159003,TR1081,TBP,1,21/08/2014
0952000673283,8abcc1a7474a238c01475865f6d50065,TB100159004,TR1081,TBP,1,21/08/2014
0952000673364,8abcc1a7474a238c01475865f71b0066,TB100159005,TR1081,TBP,1,21/08/2014
0952000660506,8abcc1a7474a238c01475865f7e60068,TB100159006,TR1081,TBP,1,21/08/2014
0952000661187,8abcc1a7474a238c01475865f82e0069,TB100159007,TR1081,TBP,1,21/08/2014
0952000670765,8abcc1a7474a238c01475865f87e006a,TB100159008,TR1081,TBP,1,21/08/2014
0952000670322,8abcc1a7474a238c01475866033e006b,TB100159009,TR1081,TBP,1,21/08/2014
0952000672399,8abcc1a7474a238c014758660449006d,TB100159010,TR1081,TBP,1,21/08/2014
0952000673293,8abcc1a7474a238c01475866047f006e,TB100159011,TR1081,TBP,1,21/08/2014
0952000670332,8abcc1a7474a238c0147586604b3006f,TB100159012,TR1081,TBP,1,21/08/2014
0952000670775,8abcc1a7474a238c0147586604f40070,TB100159013,TR1081,TBP,1,21/08/2014
0952000660516,8abcc1a7474a238c0147586605620072,TB100159014,TR1081,TBP,1,21/08/2014
0952000661197,8abcc1a7474a238c0147586605940073,TB100159015,TR1081,TBP,1,21/08/2014
0952000660526,8abcc1a7474a238c0147586605ce0074,TB100159016,TR1081,TBP,1,21/08/2014
0952000661207,8abcc1a7474a238c0147586605f70075,TB100159017,TR1081,TBP,1,21/08/2014
0952000660536,8abcc1a7474a238c0147586606280076,TB100159018,TR1081,TBP,1,21/08/2014
0952000673303,8abcc1a7474a238c01475866064e0077,TB100159019,TR1081,TBP,1,21/08/2014
0952000671721,8abcc1a7474a238c0147586606810078,TB100159020,TR1081,TBP,1,21/08/2014
0952000669498,8abcc1a7474a238c0147586606aa0079,TB100159021,TR1081,TBP,1,21/08/2014
0952000671731,8abcc1a7474a238c0147586606d3007a,TB100159022,TR1081,TBP,1,21/08/2014
0952000670342,8abcc1a7474a238c014758660740007c,TB100159023,TR1081,TBP,1,21/08/2014
0952000660546,8abcc1a7474a238c014758660776007d,TB100159024,TR1081,TBP,1,21/08/2014
0952000669508,8abcc1a7474a238c0147586607c2007e,TB100159025,TR1081,TBP,1,21/08/2014
TRAILER,49,,,
